Zeit_ID,Jahr,Monat,Stunde,Wochentag
409,2018,3,10,Mittwoch
410,2018,3,10,Donnerstag
411,2018,3,10,Freitag
412,2018,3,10,Samstag
413,2018,3,10,Sonntag
414,2018,3,11,Montag
415,2018,3,11,Dienstag
416,2018,3,11,Mittwoch
417,2018,3,11,Donnerstag
418,2018,3,11,Freitag
419,2018,3,11,Samstag
420,2018,3,11,Sonntag
421,2018,3,12,Montag
422,2018,3,12,Dienstag
423,2018,3,12,Mittwoch
424,2018,3,12,Donnerstag
425,2018,3,12,Freitag
426,2018,3,12,Samstag
427,2018,3,12,Sonntag
428,2018,3,13,Montag
429,2018,3,13,Dienstag
430,2018,3,13,Mittwoch
431,2018,3,13,Donnerstag
432,2018,3,13,Freitag
433,2018,3,13,Samstag
434,2018,3,13,Sonntag
435,2018,3,14,Montag
436,2018,3,14,Dienstag
437,2018,3,14,Mittwoch
438,2018,3,14,Donnerstag
439,2018,3,14,Freitag
440,2018,3,14,Samstag
441,2018,3,14,Sonntag
442,2018,3,15,Montag
443,2018,3,15,Dienstag
444,2018,3,15,Mittwoch
445,2018,3,15,Donnerstag
446,2018,3,15,Freitag
447,2018,3,15,Samstag
448,2018,3,15,Sonntag
449,2018,3,16,Montag
450,2018,3,16,Dienstag
451,2018,3,16,Mittwoch
452,2018,3,16,Donnerstag
453,2018,3,16,Freitag
454,2018,3,16,Samstag
455,2018,3,16,Sonntag
456,2018,3,17,Montag
457,2018,3,17,Dienstag
458,2018,3,17,Mittwoch
459,2018,3,17,Donnerstag
460,2018,3,17,Freitag
461,2018,3,17,Samstag
462,2018,3,17,Sonntag
463,2018,3,18,Montag
464,2018,3,18,Dienstag
465,2018,3,18,Mittwoch
466,2018,3,18,Donnerstag
467,2018,3,18,Freitag
468,2018,3,18,Samstag
469,2018,3,18,Sonntag
470,2018,3,19,Montag
471,2018,3,19,Dienstag
472,2018,3,19,Mittwoch
473,2018,3,19,Donnerstag
474,2018,3,19,Freitag
475,2018,3,19,Samstag
476,2018,3,19,Sonntag
477,2018,3,20,Montag
478,2018,3,20,Dienstag
479,2018,3,20,Mittwoch
480,2018,3,20,Donnerstag
481,2018,3,20,Freitag
482,2018,3,20,Samstag
483,2018,3,20,Sonntag
484,2018,3,21,Montag
485,2018,3,21,Dienstag
486,2018,3,21,Mittwoch
487,2018,3,21,Donnerstag
488,2018,3,21,Freitag
489,2018,3,21,Samstag
490,2018,3,21,Sonntag
491,2018,3,22,Montag
492,2018,3,22,Dienstag
493,2018,3,22,Mittwoch
494,2018,3,22,Donnerstag
495,2018,3,22,Freitag
496,2018,3,22,Samstag
497,2018,3,22,Sonntag
498,2018,3,23,Montag
499,2018,3,23,Dienstag
500,2018,3,23,Mittwoch
501,2018,3,23,Donnerstag
502,2018,3,23,Freitag
503,2018,3,23,Samstag
504,2018,3,23,Sonntag
505,2018,4,0,Montag
506,2018,4,0,Dienstag
507,2018,4,0,Mittwoch
508,2018,4,0,Donnerstag
509,2018,4,0,Freitag
510,2018,4,0,Samstag
511,2018,4,0,Sonntag
512,2018,4,1,Montag
513,2018,4,1,Dienstag
514,2018,4,1,Mittwoch
515,2018,4,1,Donnerstag
516,2018,4,1,Freitag
517,2018,4,1,Samstag
518,2018,4,1,Sonntag
519,2018,4,2,Montag
520,2018,4,2,Dienstag
521,2018,4,2,Mittwoch
522,2018,4,2,Donnerstag
523,2018,4,2,Freitag
524,2018,4,2,Samstag
525,2018,4,2,Sonntag
526,2018,4,3,Montag
527,2018,4,3,Dienstag
528,2018,4,3,Mittwoch
529,2018,4,3,Donnerstag
530,2018,4,3,Freitag
531,2018,4,3,Samstag
532,2018,4,3,Sonntag
533,2018,4,4,Montag
534,2018,4,4,Dienstag
535,2018,4,4,Mittwoch
536,2018,4,4,Donnerstag
537,2018,4,4,Freitag
538,2018,4,4,Samstag
539,2018,4,4,Sonntag
540,2018,4,5,Montag
541,2018,4,5,Dienstag
542,2018,4,5,Mittwoch
543,2018,4,5,Donnerstag
544,2018,4,5,Freitag
545,2018,4,5,Samstag
546,2018,4,5,Sonntag
547,2018,4,6,Montag
548,2018,4,6,Dienstag
549,2018,4,6,Mittwoch
550,2018,4,6,Donnerstag
551,2018,4,6,Freitag
552,2018,4,6,Samstag
553,2018,4,6,Sonntag
554,2018,4,7,Montag
555,2018,4,7,Dienstag
556,2018,4,7,Mittwoch
557,2018,4,7,Donnerstag
558,2018,4,7,Freitag
559,2018,4,7,Samstag
560,2018,4,7,Sonntag
561,2018,4,8,Montag
562,2018,4,8,Dienstag
563,2018,4,8,Mittwoch
564,2018,4,8,Donnerstag
565,2018,4,8,Freitag
566,2018,4,8,Samstag
567,2018,4,8,Sonntag
568,2018,4,9,Montag
569,2018,4,9,Dienstag
570,2018,4,9,Mittwoch
571,2018,4,9,Donnerstag
572,2018,4,9,Freitag
573,2018,4,9,Samstag
574,2018,4,9,Sonntag
575,2018,4,10,Montag
576,2018,4,10,Dienstag
577,2018,4,10,Mittwoch
578,2018,4,10,Donnerstag
579,2018,4,10,Freitag
580,2018,4,10,Samstag
581,2018,4,10,Sonntag
582,2018,4,11,Montag
583,2018,4,11,Dienstag
584,2018,4,11,Mittwoch
585,2018,4,11,Donnerstag
586,2018,4,11,Freitag
587,2018,4,11,Samstag
588,2018,4,11,Sonntag
589,2018,4,12,Montag
590,2018,4,12,Dienstag
591,2018,4,12,Mittwoch
592,2018,4,12,Donnerstag
593,2018,4,12,Freitag
594,2018,4,12,Samstag
595,2018,4,12,Sonntag
596,2018,4,13,Montag
597,2018,4,13,Dienstag
598,2018,4,13,Mittwoch
599,2018,4,13,Donnerstag
600,2018,4,13,Freitag
601,2018,4,13,Samstag
602,2018,4,13,Sonntag
603,2018,4,14,Montag
604,2018,4,14,Dienstag
605,2018,4,14,Mittwoch
606,2018,4,14,Donnerstag
607,2018,4,14,Freitag
608,2018,4,14,Samstag
609,2018,4,14,Sonntag
610,2018,4,15,Montag
611,2018,4,15,Dienstag
612,2018,4,15,Mittwoch
613,2018,4,15,Donnerstag
614,2018,4,15,Freitag
615,2018,4,15,Samstag
616,2018,4,15,Sonntag
617,2018,4,16,Montag
618,2018,4,16,Dienstag
619,2018,4,16,Mittwoch
620,2018,4,16,Donnerstag
621,2018,4,16,Freitag
622,2018,4,16,Samstag
623,2018,4,16,Sonntag
624,2018,4,17,Montag
625,2018,4,17,Dienstag
626,2018,4,17,Mittwoch
627,2018,4,17,Donnerstag
628,2018,4,17,Freitag
629,2018,4,17,Samstag
630,2018,4,17,Sonntag
631,2018,4,18,Montag
632,2018,4,18,Dienstag
633,2018,4,18,Mittwoch
634,2018,4,18,Donnerstag
635,2018,4,18,Freitag
636,2018,4,18,Samstag
637,2018,4,18,Sonntag
638,2018,4,19,Montag
639,2018,4,19,Dienstag
640,2018,4,19,Mittwoch
641,2018,4,19,Donnerstag
642,2018,4,19,Freitag
643,2018,4,19,Samstag
644,2018,4,19,Sonntag
645,2018,4,20,Montag
646,2018,4,20,Dienstag
647,2018,4,20,Mittwoch
648,2018,4,20,Donnerstag
649,2018,4,20,Freitag
650,2018,4,20,Samstag
651,2018,4,20,Sonntag
652,2018,4,21,Montag
