Gefahrenbereich_ID,Unfall_ID_FK,Baustelle_ID_FK
416,6279,54
417,13171,54
418,19072,54
419,23838,54
420,24378,54
421,36251,54
422,36380,54
423,38028,54
424,39191,54
425,39963,54
426,40049,54
427,45261,54
428,4905,55
429,6631,55
430,16334,55
431,20901,55
432,30108,55
433,32266,55
434,40975,55
435,45257,55
436,45581,55
437,47965,55
438,30583,56
439,32955,56
440,9454,57
441,47288,57
442,4830,58
443,13193,58
444,15980,58
445,24172,58
446,4886,59
447,4923,59
448,6729,59
449,11974,59
450,13114,59
451,35789,59
452,41997,59
453,425,61
454,823,61
455,1683,61
456,13743,61
457,15277,61
458,21573,61
459,31719,61
460,40838,61
461,46419,61
462,2342,62
463,2346,62
464,2848,62
465,5902,62
466,8632,62
467,8955,62
468,16595,62
469,19362,62
470,20020,62
471,20806,62
472,22374,62
473,22397,62
474,23379,62
475,24122,62
476,26300,62
477,26440,62
478,31660,62
479,34856,62
480,38707,62
481,39459,62
482,42319,62
483,42380,62
484,45765,62
485,48021,62
486,11455,64
487,12910,64
488,23309,64
489,29177,64
490,29533,64
491,32684,64
492,41662,64
493,46792,64
494,3325,65
495,6183,65
496,7492,65
497,8831,65
498,12592,65
499,16081,65
500,17039,65
501,17200,65
502,17415,65
503,17934,65
504,18332,65
505,18952,65
506,19611,65
507,20003,65
508,21353,65
509,22936,65
510,25461,65
511,25974,65
512,29089,65
513,29447,65
514,30866,65
515,31203,65
516,31219,65
517,33155,65
518,34293,65
519,35126,65
520,39206,65
521,39453,65
522,42481,65
523,43218,65
524,44469,65
525,45907,65
526,46247,65
527,47361,65
528,48079,65
529,8692,66
530,22773,66
531,23186,66
532,23631,66
533,24974,66
534,29136,66
535,29740,66
536,31378,66
537,33394,66
538,35102,66
539,38935,66
540,40586,66
541,43490,66
542,48385,66
543,4055,67
544,12309,67
545,20713,67
546,22679,67
547,45769,67
548,18057,68
549,25602,68
550,30007,68
551,31138,68
552,34126,68
553,5896,69
554,10366,69
555,13427,69
556,28826,69
557,29355,69
558,29467,69
559,32326,69
560,41165,69
561,47593,69
562,10121,70
563,33901,70
564,41015,70
565,44592,70
566,5323,71
