,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNWD,TMAX,TMIN
5262,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-30,0.0,0.0,17.0,9.7
5263,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-05-31,0.6,0.0,20.1,12.1
5264,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-01,0.6,0.0,26.1,11.4
5265,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-02,0.5,0.0,27.5,13.1
5266,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-03,0.0,0.0,27.3,14.4
5267,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-04,5.6,0.0,24.7,14.7
5268,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-05,0.0,0.0,22.1,14.4
5269,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-06,0.0,0.0,20.3,14.8
5270,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-07,0.0,0.0,21.5,12.1
5271,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-08,0.1,0.0,23.5,9.4
5272,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-09,9.0,0.0,22.8,12.3
5273,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-10,3.1,0.0,17.4,13.2
5274,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-11,1.0,0.0,19.2,13.2
5275,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-12,0.0,0.0,15.4,11.0
5276,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-13,1.4,0.0,16.4,10.0
5277,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-14,0.0,0.0,20.9,6.3
5278,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-15,7.3,0.0,19.1,10.0
5279,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-16,1.3,0.0,15.6,9.8
5280,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-17,1.2,0.0,17.3,7.1
5281,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-18,1.8,0.0,16.3,6.8
5282,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-19,0.1,0.0,14.2,7.4
5283,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-20,3.2,0.0,16.5,9.8
5284,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-21,1.0,0.0,15.8,11.7
5285,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-22,4.3,0.0,17.3,9.9
5286,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-23,0.4,0.0,18.1,10.0
5287,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-24,0.0,0.0,20.4,8.6
5288,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-25,0.0,0.0,25.1,8.7
5289,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-26,2.6,0.0,28.3,13.5
5290,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-27,4.3,0.0,22.3,14.1
5291,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-28,18.3,0.0,20.0,8.9
5292,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-29,17.9,0.0,13.0,10.0
5293,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-06-30,8.7,0.0,16.1,8.0
5294,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-01,0.0,0.0,20.5,10.6
5295,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-02,4.4,0.0,21.6,10.4
5296,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-03,0.0,0.0,22.9,12.6
5297,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-04,0.0,0.0,25.7,13.6
5298,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-05,0.0,0.0,25.9,10.2
5299,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-06,0.0,0.0,27.1,12.2
5300,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-07,0.0,0.0,27.1,12.9
5301,GME00127930,"BERLIN SCHONEFELD, GM",52.3819,13.5325,46.0,1971-07-08,0.0,0.0,29.1,13.1
